id,domain,portal_system,portal_subdomain,confidence,detection_method,validated,validation_website,error,timestamp,created_at,updated_at
150,rentusa.info,propertyware,app.propertyware.com,high,homepage_fetch,0,,,2026-02-01T21:10:10.256901,2026-02-25 06:54:01,2026-02-25 06:54:01
151,ziprent.com,guesty,,high,secondary_page:/auth/login,0,,,2026-02-01T21:09:42.105290,2026-02-25 06:54:01,2026-02-25 06:54:01
152,sundialaz.com,appfolio,,high,homepage_fetch,0,,,2026-02-01T21:10:41.162389,2026-02-25 06:54:01,2026-02-25 06:54:01
154,sacdelt.com,appfolio,,high,homepage_fetch,0,,,2026-02-01T21:11:20.848678,2026-02-25 06:54:01,2026-02-25 06:54:01
156,revidrealty.com,appfolio,revid.appfolio.com,high,subdomain_probe,1,http://revidrealty.com,,2026-02-01T21:10:59.563713,2026-02-25 06:54:01,2026-02-25 06:54:01
157,pennyrealty.com,appfolio,pennyrealty.appfolio.com,high,homepage_fetch,1,http://www.pennyrealty.com,,2026-02-01T21:12:01.300101,2026-02-25 06:54:01,2026-02-25 06:54:01
158,provestrealty.com,appfolio,provest.appfolio.com,high,homepage_fetch,1,http://www.provestrealty.com,,2026-02-01T21:12:27.644596,2026-02-25 06:54:01,2026-02-25 06:54:01
159,rpmintegrity.com,appfolio,rpmca080.appfolio.com,high,secondary_page:/tenants/,1,http://www.rpmintegrity.com,,2026-02-01T21:12:29.763216,2026-02-25 06:54:01,2026-02-25 06:54:01
160,structureproperties.com,appfolio,structureproperties.appfolio.com,medium,subdomain_probe,0,,,2026-02-01T21:12:15.254142,2026-02-25 06:54:01,2026-02-25 06:54:01
162,vpmanagement.net,appfolio,vpmanagement.appfolio.com,high,homepage_fetch,1,http://vpmanagement.net,,2026-02-01T21:13:24.352900,2026-02-25 06:54:01,2026-02-25 06:54:01
163,tidewaterproperty.com,appfolio,tidewater.appfolio.com,high,homepage_fetch,1,http://www.tidewaterproperty.com,,2026-02-01T21:13:26.532187,2026-02-25 06:54:01,2026-02-25 06:54:01
164,witmanproperties.com,appfolio,witmanproperties.appfolio.com,high,homepage_fetch,1,http://witmanproperties.com,,2026-02-01T21:13:26.510637,2026-02-25 06:54:01,2026-02-25 06:54:01
165,pristinepm.com,rentvine,pristinepm.rentvine.com,high,homepage_fetch,0,,,2026-02-01T21:13:29.331348,2026-02-25 06:54:01,2026-02-25 06:54:01
167,trusthomeproperties.com,appfolio,warnerquinlan.appfolio.com,high,homepage_fetch,1,https://trusthomeproperties.com/,,2026-02-01T21:14:34.944584,2026-02-25 06:54:01,2026-02-25 06:54:01
168,verandahproperties.com,appfolio,verandahproperties.appfolio.com,high,homepage_fetch,1,http://www.verandahproperties.com,,2026-02-01T21:14:37.420401,2026-02-25 06:54:01,2026-02-25 06:54:01
169,rpmrealty.net,appfolio,rpmrealty.appfolio.com,high,homepage_fetch,1,http://www.rpmrealty.net,,2026-02-01T21:14:50.847521,2026-02-25 06:54:01,2026-02-25 06:54:01
171,thelistingrem.com,buildium,thelistingrealestatemanagement.managebuilding.com,high,homepage_fetch,0,,,2026-02-01T21:15:12.079475,2026-02-25 06:54:01,2026-02-25 06:54:01
172,tampabaypropertymanagement.net,rentmanager,vintage.twa.rentmanager.com,high,homepage_fetch,0,,,2026-02-01T21:15:47.269323,2026-02-25 06:54:01,2026-02-25 06:54:01
173,rpmtampastpete.com,appfolio,rpmfl014.appfolio.com,high,secondary_page:/tenants/,1,http://www.rpmtampastpete.com,,2026-02-01T21:15:48.333960,2026-02-25 06:54:01,2026-02-25 06:54:01
174,wisepropertymanagement.com,appfolio,wisepropertymanagement.appfolio.com,medium,subdomain_probe,0,,,2026-02-01T21:15:30.585611,2026-02-25 06:54:01,2026-02-25 06:54:01
